,station,date,prcp,tobs,nulls
318,USC00519397,2010-12-16,0.0,67,False
319,USC00519397,2010-12-17,0.0,66,False
320,USC00519397,2010-12-18,0.0,69,False
321,USC00519397,2010-12-19,1.4,71,False
322,USC00519397,2010-12-23,0.0,70,False
323,USC00519397,2010-12-24,0.0,70,False
324,USC00519397,2010-12-26,0.065,74,True
325,USC00519397,2010-12-27,0.13,74,False
326,USC00519397,2010-12-28,0.55,71,False
327,USC00519397,2010-12-29,0.06,75,False
328,USC00519397,2010-12-30,0.01,75,False
329,USC00519397,2010-12-31,0.0,72,False
330,USC00519397,2011-01-01,0.0,69,False
331,USC00519397,2011-01-02,0.0,72,False
332,USC00519397,2011-01-03,0.0,74,False
333,USC00519397,2011-01-04,0.0,73,False
334,USC00519397,2011-01-05,0.0,64,False
335,USC00519397,2011-01-06,0.01,65,False
336,USC00519397,2011-01-07,0.0,68,False
337,USC00519397,2011-01-08,0.0,62,False
338,USC00519397,2011-01-09,0.0,58,False
339,USC00519397,2011-01-10,0.0,73,False
340,USC00519397,2011-01-11,0.09,60,False
341,USC00519397,2011-01-13,0.06,68,True
342,USC00519397,2011-01-14,0.03,76,False
343,USC00519397,2011-01-15,0.0,68,False
344,USC00519397,2011-01-16,0.0,66,False
345,USC00519397,2011-01-17,0.0,64,False
346,USC00519397,2011-01-18,0.0,64,False
347,USC00519397,2011-01-19,0.03,64,False
348,USC00519397,2011-01-20,0.0,76,False
349,USC00519397,2011-01-21,0.0,75,False
350,USC00519397,2011-01-22,0.0,68,False
351,USC00519397,2011-01-23,0.0,68,False
352,USC00519397,2011-01-24,0.0,72,False
353,USC00519397,2011-01-25,0.0,63,False
354,USC00519397,2011-01-27,0.0,68,False
355,USC00519397,2011-01-28,0.0,75,False
356,USC00519397,2011-01-29,0.0,65,False
357,USC00519397,2011-01-30,0.0,64,False
358,USC00519397,2011-01-31,0.22,68,False
359,USC00519397,2011-02-01,0.0,68,False
360,USC00519397,2011-02-02,0.0,66,False
361,USC00519397,2011-02-03,0.0,67,False
362,USC00519397,2011-02-04,0.0,64,False
363,USC00519397,2011-02-05,0.0,65,False
364,USC00519397,2011-02-06,0.0,75,False
365,USC00519397,2011-02-07,1.29,68,False
366,USC00519397,2011-02-08,1.3,71,False
367,USC00519397,2011-02-09,0.0,71,False
368,USC00519397,2011-02-10,0.29,71,False
369,USC00519397,2011-02-12,0.145,68,True
370,USC00519397,2011-02-13,0.0,68,False
371,USC00519397,2011-02-14,0.04,72,False
372,USC00519397,2011-02-15,0.05,70,False
373,USC00519397,2011-02-16,0.0,74,False
374,USC00519397,2011-02-19,0.0,67,False
375,USC00519397,2011-02-20,1.72,71,False
376,USC00519397,2011-02-21,0.0,71,False
377,USC00519397,2011-02-22,0.82,71,False
378,USC00519397,2011-02-23,0.0,74,False
379,USC00519397,2011-02-24,0.2,68,False
380,USC00519397,2011-02-25,0.0,71,False
381,USC00519397,2011-02-26,0.0,69,False
382,USC00519397,2011-02-27,0.0,69,False
383,USC00519397,2011-02-28,0.0,68,False
384,USC00519397,2011-03-01,0.1,68,False
385,USC00519397,2011-03-02,0.0,72,False
386,USC00519397,2011-03-03,0.0,74,False
